codigo_municipio,nombre_municipio,codigo_departamento,LATITUD,LONGITUD
20001,Valledupar,20,10.21890277,-73.45784764
19845,Villa Rica,19,3.180627317,-76.46445558
19824,Totoró,19,2.475213085,-76.39675937
19821,Toribio,19,2.975771999,-76.20331566
19809,Timbiquí,19,2.699475127,-77.49131577
19807,Timbío,19,2.369625312,-76.71051932
19785,Sucre,19,2.057735184,-76.90993965
19780,Suárez,19,2.936865997,-76.7458243
19760,Sotara,19,2.231820541,-76.61146633
19743,Silvia,19,2.651291894,-76.35057356
19701,Santa Rosa,19,1.52002179,-76.53876281
19698,Santander de Quilichao,19,2.984467338,-76.49873145
19693,San Sebastián,19,1.856261815,-76.71652424
19622,Rosas,19,2.260421954,-76.74582033
19585,Puracé,19,2.262153618,-76.44826938
19573,Puerto Tejada,19,3.266724205,-76.41846353
19548,Piendamó,19,2.702420026,-76.53770455
19533,Piamonte,19,1.054128816,-76.4443271
19532,Patía,19,2.157983906,-77.0465762
19517,Paez,19,2.733887702,-75.99368264
19513,Padilla,19,3.194730618,-76.3362418
19473,Morales,19,2.773663981,-76.74605152
19455,Miranda,19,3.228235212,-76.21670827
19450,Mercaderes,19,1.793825164,-77.18060381
19418,López,19,2.95819877,-77.24212158
19397,La Vega,19,2.053933426,-76.7588062
19392,La Sierra,19,2.187473572,-76.78228032
19364,Jambaló,19,2.84981013,-76.31124919
19355,Inzá,19,2.499058783,-76.13762531
19318,Guapi,19,2.41326696,-77.69047531
19300,Guachene,19,3.144389993,-76.39234811
19290,Florencia,19,1.69453474,-77.08735723
19256,El Tambo,19,2.534488312,-77.00511207
19212,Corinto,19,3.136753606,-76.20964569
19142,Caloto,19,3.062875557,-76.32127977
19137,Caldono,19,2.803845691,-76.42719377
19130,Cajibío,19,2.643209848,-76.70138914
19110,Buenos Aires,19,2.988923885,-76.62158951
19100,Bolívar,19,1.853951938,-76.96337454
19075,Balboa,19,2.084732945,-77.2088133
19050,Argelia,19,2.329337283,-77.26314906
19022,Almaguer,19,1.912440521,-76.83494519
19001,Popayán,19,2.471704362,-76.59194419
18860,Valparaíso,18,1.07534915,-75.73779004
18785,Solita,18,0.943939454,-75.64668544
18756,Solano,18,0.096131862,-72.32036402
18753,San Vicente del Caguán,18,1.308465061,-74.19746971
18610,San José del Fragua,18,1.304702314,-76.11000594
18592,Puerto Rico,18,2.018940891,-75.07308627
18479,Morelia,18,1.38299611,-75.67381123
18460,Milán,18,1.146692554,-75.38664764
18410,La Montañita,18,1.302860442,-75.23572732
18256,El Paujil,18,1.476630016,-75.20231825
18247,El Doncello,18,1.713734697,-75.26878109
18205,Curillo,18,1.115379292,-75.97328452
18150,Cartagena del Chairá,18,0.647693081,-74.27235499
18094,Belén de los Andaquies,18,1.536174657,-75.90947504
18029,Albania,18,1.22786549,-75.88232651
18001,Florencia,18,1.749138704,-75.55823906
17877,Viterbo,17,5.047822054,-75.879297
17873,Villamaría,17,4.940211591,-75.43544014
17867,Victoria,17,5.447542859,-74.83622502
17777,Supía,17,5.45295802,-75.64035705
17665,San José,17,5.083424513,-75.8101789
17662,Samaná,17,5.519692873,-74.99718577
17653,Salamina,17,5.370332425,-75.40962177
17616,Risaralda,17,5.097563816,-75.73335166
17614,Riosucio,17,5.442275418,-75.75220499
